"","zip"
"1","11102"
"2","11103"
"3","11357"
"4","11104"
"5","10028"
"6","10029"
"7","10112"
"8","11356"
"9","10115"
"10","10032"
"11","10033"
"12","10170"
"13","11109"
"14","10031"
"15","11101"
"16","11693"
"17","11106"
"18","10111"
"19","10024"
"20","10035"
"21","10027"
"22","11105"
"23","10039"
"24","10037"
"25","11372"
"26","10040"
"27","10168"
"28","10036"
"29","10030"
"30","10171"
"31","10167"
"32","10162"
"33","10025"
"34","10279"
"35","10172"
"36","10069"
"37","11354"
"38","10023"
"39","10303"
"40","10044"
"41","10065"
"42","10302"
"43","11370"
"44","10165"
"45","10154"
"46","11430"
"47","11373"
"48","10153"
"49","10075"
"50","10169"
"51","10021"
"52","10034"
"53","10282"
"54","10278"
"55","10454"
"56","11351"
"57","10103"
"58","11355"
"59","10271"
"60","10038"
"61","10110"
"62","10312"
"63","11369"
"64","11370"
"65","11040"
"66","11432"
"67","11368"
"68","10119"
"69","11003"
"70","11414"
"71","10026"
"72","10280"
"73","11379"
"74","10022"
"75","11423"
"76","11419"
"77","10301"
"78","11363"
"79","11371"
"80","11005"
"81","10018"
"82","11416"
"83","11418"
"84","10177"
"85","10174"
"86","11428"
"87","11429"
"88","10306"
"89","11362"
"90","11365"
"91","11374"
"92","10463"
"93","10014"
"94","11378"
"95","11004"
"96","11417"
"97","11424"
"98","11358"
"99","10309"
"100","11367"
"101","11692"
"102","10463"
"103","11694"
"104","11411"
"105","11385"
"106","11413"
"107","11426"
"108","10310"
"109","11361"
"110","10314"
"111","11697"
"112","11412"
"113","11415"
"114","10173"
"115","11427"
"116","11364"
"117","11375"
"118","10464"
"119","10128"
"120","10457"
"121","10019"
"122","11377"
"123","10199"
"124","10469"
"125","10308"
"126","10307"
"127","11360"
"128","10152"
"129","11691"
"130","10016"
"131","10001"
"132","10472"
"133","10473"
"134","10311"
"135","10461"
"136","10020"
"137","11451"
"138","11421"
"139","10471"
"140","11366"
"141","10462"
"142","10304"
"143","11001"
"144","10006"
"145","10002"
"146","11422"
"147","10468"
"148","10474"
"149","10475"
"150","10455"
"151","10456"
"152","10012"
"153","10466"
"154","11420"
"155","10470"
"156","10459"
"157","10007"
"158","10005"
"159","10003"
"160","10465"
"161","10010"
"162","10452"
"163","11434"
"164","10009"
"165","10453"
"166","10451"
"167","10458"
"168","10467"
"169","10004"
"170","10305"
"171","11436"
"172","10011"
"173","11433"
"174","10460"
"175","11359"
"176","11435"
"177","10017"
"178","10013"
